289,292,294,295,298,294,292,300,303,299,298,309,312,315,312,312,313,309,311,307,307,325,325,325,325,325,325,325,325,325,325,325,332,332,332,332,332,332,332,332,332,332,332,332,332,312,312,312,312,312,299,297,297,297,297,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,280,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,269,269,258,258,262,262,262,262,262,256,256,256,256,256,256,252,252,252,252,252,252,252,252,245,245,245,245,245,245,245,245,245,245,245,243,243,243,243,243,243,243,243,243,243,243,243,243,243,262,262,262,262,262,262,262,262,262,262,262,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,420,422,419,421,428,426,424,427,429,427,428,428,445,434,439,441,442,443,435,429,434,437,430,423,411,427,429,425,422,420,425,429,425,415,415,415,416,419,426,429,436,439,430,423,419,416,423,434,425,427,378,377,396,448,405,425,404,416,420,412,412,408,402,399,399,406,411,415,434,444,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,465,456,446,453,452,489,516,519,519,519,519,519,534,544,535,542,554,553,555,559,562,561,550,554,549,543,538,518,517,515,516,516,518,513,520,516,518,516,516,515,509,506,504,503,515,515,515,510,491,478,481,484,463,466,466,463,459,458,463,463,461,469,470,477,484,488,469,460,470,470,470,470,470,470,470,470,470,470,470,445,452,456,466,464,456,459,456,458,457,455,454,447,455,461,459,457,451,450,451,450,450,457,455,451,452,448,446,445,447,444,445,446,449,449,450,447,435,450,449,451,447,446,480,483,484,483,478,477,476,472,467,466,468,467,465,467,467,469,469,471,474,477,482,489,495,493,493,488,487,489,485,484,481,482,482,478,488,495,494,498,498,474,475,476,483,480,487,483,486,490,494,501,508,510,514,513,505,499,492,495,494,497,492,487,495
318,325,326,327,325,330,333,336,340,343,338,335,332,339,323,323,330,322,333,337,338,315,325,325,325,325,318,325,297,325,309,314,307,309,307,307,305,307,306,308,312,296,280,274,283,294,285,281,280,273,285,269,268,265,265,264,264,260,257,267,265,259,266,263,261,270,261,263,264,265,261,259,263,266,271,274,274,274,292,280,268,268,270,273,269,270,268,266,267,267,267,266,269,272,275,276,276,277,278,279,282,282,284,287,292,295,298,295,290,278,276,274,286,283,293,293,290,290,289,293,302,301,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,350,355,348,334,339,327,330,332,335,333,338,331,322,321,323,326,321,320,317,315,318,325,320,321,316,317,320,318,323,316,321,323,321,318,315,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,538,537,539,542,542,540,539,535,537,536,534,543,518,551,533,533,533,533,533,471,474,471,472,473,466,466,468,464,465,464,460,458,443,434,428,421,415,413,412,413,424,435,440,434,425,427,421,423,431,415,413,412,411,413,414,417,414,418,415,431,435,435,435,435,446,430,426,421,421,415,415,419,425,423,412,406,403,411,411,407,402,407,404,397,397,398,397,400,396,398,402,401,396,397,393,393,392,391,394,392,390,388,389,392,392,390,388,388,385,394,392,392,394,392,392,386,382,391,378,379,435,380,377,371,378,372,372,382,374,379,374,368,370,373,375,380,379,371,373,370,374,370,370,353,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,370,370,370,370,370,323,323,323,323,323,323,323,323,323,323,323,323,323,323,349,349,349
622,620,620,622,624,624,621,621,613,637,645,646,649,649,620,612,649,649,649,604,604,597,595,598,593,592,595,596,600,607,610,605,607,607,602,600,600,600,602,600,603,610,611,611,610,610,610,608,609,594,592,588,592,582,606,590,594,593,585,590,612,579,589,589,589,597,593,567,551,542,537,537,534,539,523,525,523,525,524,526,529,526,527,528,533,524,527,525,526,535,533,533,524,523,534,527,529,526,525,535,534,524,527,532,533,532,530,536,542,540,540,541,540,541,545,551,550,551,551,549,543,550,541,540,543,539,543,546,543,537,531,530,538,535,525,528,530,523,517,516,518,521,521,523,517,515,519,520,523,526,531,536,538,535,536,535,534,535,536,533,531,531,531,531,530,548,554,545,555,541,545,541,541,540,539,545,544,540,540,540,539,518,516,519,520,532
843,856,858,863,860,844,821,820,820,820,820,820,820,820,820,855,877,875,890,877,881,881,873,885,885,880,889,889,879,877,858,832,836,842,846,848,848,846,854,856,862,861,870,877,880,887,896,902,900,877,883,887,882,883,877,849,865,857,863,865,0,865,865,865,866,871,874,873,856,845,872,854,860,844,844,836,838,835,838,836,837,842,846,844,849,848,841,839,832,841,839,833,832,825,827,827,817,815,811,809,809,804,805,798,793,796,794,794,790,782,779,780,780,783,783,781,782,780,781,784,781,779,774,761,761,757,753,754,751,752,749,750,750,744,742,737,734,736,733,732,730,738,738,728,726,729,727,725,723,725,727,723,720,730,728,726,725,719,722,728,722,717,718,717,704,736,741,742,743,752,749,743,730,718,711,707,709,712,729,724,735,746,757,778,785,824
676,682,675,688,697,690,666,662,648,662,662,662,662,662,662,662,658,636,676,648,669,666,668,656,664,658,659,658,683,675,661,660,668,662,663,663,657,679,688,684,688,689,688,683,682,681,689,687,683,666,658,658,655,659,666,677,670,675,697,697,697,697,697,697,697,697,705,697,712,713,718,725,726,723,737,738,732,728,726,727,730,727,723,722,718,712,724,712,711,714,712,710,707,710,714,713,714,718,718,724,724,733,724,716,715,722,715,714,723,725,727,723,722,715,713,710,709,715,711,710,704,703,695,697,693,692,692,689,683,685,684,685,682,681,679,687,684,687,687,687,687,687,686,685,684,685,684,684,683,682,681,681,680,680,682,680,681,685,688,688,691,691,692,690,687,692,692,694,698,704,713,711,705,698,697,700,706,709,711,712,719,720,722,721,730,739
780,789,789,796,789,789,789,789,812,800,805,779,776,781,791,786,792,788,799,792,785,787,786,782,776,765,769,768,763,761,752,746,743,746,739,742,749,762,774,795,798,803,803,803,803,803,803,804,803,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
