23,19,16,20,18,1,1,1,1,1,9,8,12,19,19,22,20,22,29,29,21,21,18,16,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,13,28,38,1,11,27,1,24,22,19,15,27,1,1,17,31,63,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,177,178,176,170,164,176,175,174,172,162,164,164,157,159,159,156,155,162,169,169,168,166,167,165,154,166,160,168,166,156,159,160,155,154,154,157,155,155,154,157,155,164,164,162,156,154,153,156,184,176,181,184,180,192,186,188,175,191,190,186,190,194,174,208,189,189,189,189,189,189,189,189,189,189,173,223,229,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
437,436,422,420,416,430,419,422,423,424,430,427,418,416,413,412,412,409,409,410,417,404,399,392,396,396,404,407,410,413,412,414,426,419,419,404,412,405,405,409,413,415,392,393,428,422,412,401,409,401,401,401,401,401,401,401,400,401,428,404,405,409,412,412,412,413,412,414,412,417,422,426,432,427,420,423,422,421,424,423,419,419,420,433,431,438,436,422,422,424,418,413,407,391,389,389,386,388,383,389,382,383,382,383,386,387,392,391,391,390,399,400,400,396,401,397,391,379,378,376,377,380,402,399,394,399,403,408,399,396,402,404,404,433,429,440,435,436,458,454,442,442,453,455,445,446,438,437,514,498,504,511,501,495,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,485,488,485,474,479,490,484,493,493,488,491,494,492,504,506,500,509,509,523,521,520,529,522,525,522,521,520,533,518,516,513,526,523,504,518,524,532,532,540,541,541,541,541,541,541,555,564,575,586,574,571,577,578,574,564,570,566,569,569,568,571,571,576,575,578,580,574,569,578,578,572,574,575,576,581,578,581,574,580,578,579,579,583,587,589,589,591,593,595,590,589,586,584,594,595,592,592,594,588,588,587,588,593,595,592,593,590,591,600,601,603,604,603,608,606,607,607,607,609,612,623,629,634,617,612,615,624,625,620,619,617,616,615,611,612,614,620,627,628,627,624,624,616,620,628,628,628,628,628,628,628,628,628,628,628,628,628,628,628,628,628,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,530,537,528,530,530,531,534,534,536,540,544,553,554,548,542,538,539,539,539,536,535,533,530,529,532,537,535,530,529,530,528,526,536,528,537,532,538,532,558,542,553,553,557,553,565,566,571,558,588,571,571,571,571,571,571,571,571,550,550,550,553,551,547,540,549,555,544,542,540,539,544,545,567,550,549,554,563,549,543,554,552,542,543,543,545,543,540,540,537,533,532,529,526,526,524,517,513,513,517,517,514,515,506,514,504,504,510,506,503,504,507,497,495,497,495,496,496,496,499,497,497,502,501,506,508,509,509,506,510,509,517,515,518,519,518,520,520,515,520,522,540,548,551,566,574,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,595,593,587,592,594,598,598,595,596,606,606,609,606,605,604,605,602,600,599,598,601,604,608,608,608,610,611,618,626,593,599,602,599,601,578,608,608,608,608,608,608,608,643,641,0,629,630,633,652,648,631,649,642,649,647,644,649,647,639,650,652,654,646,648,652,650,652,651,655,654,655,653,653,656,659,659,655,655,654,651,650,647,646,646,644,644,648,647,648,648,646,647,646,650,654,654,656,657,659,674,667,669,673,676,683,678,685,685,682,682,682,677,690,673,673,669,667,670,665,660,653,654,644,628,627,625,624,623,613,626,635,639,645,639,636,628,616,618,626,631,633,618,625,615,613,614,617,621,625,628,629,628,628,627,627,626,626,622,619,631,627,605,604,599,589,591,602,584,590,591,597,590,569,568,563,558,557,549,543,538,530,530,528,529,520
979,980,984,982,981,977,977,970,965,963,964,961,959,955,955,955,963,963,959,950,953,956,959,954,954,952,959,968,967,972,981,1008,999,999,999,999,999,999,999,1023,999,961,951,949,943,947,948,948,948,970,963,963,965,963,964,960,962,960,952,954,953,966,967,968,964,963,957,955,954,953,956,954,954,956,955,953,953,953,953,951,950,950,948,950,946,946,943,942,940,939,942,945,946,946,944,946,947,947,956,955,959,958,960,961,966,966,966,966,966,967,966,966,968,968,972,973,972,971,968,967,965,965,966,967,969,971,968,967,967,964,965,963,966,966,968,967,969,972,973,971,972,968,969,968,971,971,970,970,972,972,976,982,982,985,983,986,985,983,981,987,987,988,988,986,989,989,987,988,991,987,992,992,989,990,992,994,990,987,984,982,980,978,978,980,964,991
916,914,912,923,936,934,934,933,930,932,932,930,927,918,915,910,915,922,925,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
